Instance,N Jobs,N Machines,N Tasks,N Individuals,N Iterations,Mutation Prob.,Xover Prob.,Threshold,Mode,Factor,Xover type,Mutation type,Iteration,Tardiness,Energy,N Generations,Execution Time
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,2,248,292.4353333333299,38,9.095510244369507
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,3,478,292.4353333333299,39,9.204689741134644
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,4,478,292.4353333333299,45,10.62807035446167
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,5,478,292.4353333333299,36,8.679885864257812
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,6,478,292.4353333333299,42,10.012141227722168
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,7,478,292.4353333333299,40,9.518240451812744
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,8,478,292.4353333333299,44,10.300414562225342
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,9,438,292.4353333333299,40,9.603290796279907
14,3,3,13,200,10,15,100,25,GPMX,INV,0,1,10,438,292.4353333333299,41,9.706079244613647
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,1,132,363.8499999999895,26,4.286037445068359
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,2,202,363.8499999999895,26,4.36246132850647
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,3,202,363.8499999999895,26,4.202908515930176
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,4,202,363.8499999999895,26,4.07830286026001
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,5,132,363.8499999999895,26,4.155918598175049
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,6,202,363.8499999999895,26,4.094345569610596
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,7,132,363.8499999999895,28,4.408102035522461
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,8,132,363.8499999999895,26,4.103163957595825
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,9,132,363.8499999999895,26,4.448391675949097
15,3,2,7,200,10,15,100,25,GPMX,INV,0,1,10,132,363.8499999999895,26,4.095937967300415
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,1,444,318.0473333333345,26,2.7098190784454346
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,2,444,318.0473333333345,25,2.5768544673919678
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,3,532,318.0473333333345,26,2.7241928577423096
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,4,444,318.0473333333345,26,2.666630744934082
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,5,492,318.0473333333345,26,2.5714776515960693
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,6,444,318.0473333333345,26,2.565791130065918
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,7,492,318.0473333333345,26,2.6187729835510254
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,8,444,318.0473333333345,26,2.5669193267822266
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,9,444,318.0473333333345,25,2.468930959701538
16,3,2,7,200,10,15,100,25,GPMX,INV,0,1,10,444,318.0473333333345,26,2.5673434734344482
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,1,922,570.7029999999853,43,10.833324670791626
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,2,992,570.7029999999853,35,8.637635231018066
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,3,1452,570.7029999999853,43,10.502264499664307
