Task
Job
Machine
Start Time
End Time
18,5,2,480,610
30,9,2,610,740
0,0,2,740,910
3,1,5,0,150
6,2,0,2770,2830
1,0,5,3250,3450
2,0,8,0,230
25,7,8,3460,3630
19,5,8,1250,1400
8,3,8,1400,1550
9,3,2,1550,1750
10,3,3,1750,1970
11,3,4,1970,2210
26,7,4,2830,2910
20,6,4,2910,2920
21,6,6,2920,3120
22,6,4,3120,3250
23,6,1,3250,3460
24,6,9,0,240
28,8,9,1080,1250
4,1,9,2110,2220
13,4,9,2220,2290
14,4,4,2290,2410
15,4,6,2410,2630
12,3,5,2630,2740
16,4,4,910,1080
5,1,4,1970,2110
17,4,6,3630,3670
7,2,6,2740,2770
27,7,6,3670,3790
29,8,6,240,480
